Timestamp,NOBITEX Last Update Time ,RAMZINEX Last Update Time,Exchange,Symbol (NOBITEX),Pair ID (RAMZINEX),Lowest Ask Price (NOBITEX),Highest Bid Price (NOBITEX),Lowest Ask Price (RAMZINEX),Highest Bid Price (RAMZINEX),Lowest Ask Volume(NOBITEX),Highest Bid Volume (NOBITEX),Lowest Ask Volume (RAMZINEX),Highest Bid Volume (RAMZINEX),Benefit,Percent,Action,Nobitex To Ramzinex Unit Ratio,Buy Price,Sell Price,Buy Side,Sell Side,Our trading volume
2023-12-18 16:30:16,1702904415633,0,NOBITEX-RAMZINEX,XLMIRT,19,60140.0,60000.0,63499.0,60372.0,5086.4,463.5,2618.8,125.1,29023.199999999997,1.0038576654472897,0,1,60140.0,60372.0,nobitex,ramzinex,125.1
2023-12-18 16:30:16,1702904415712,0,NOBITEX-RAMZINEX,LTCUSDT,15,68.41,68.04,68.7,68.5,3.00832,5.45042,10.687,0.5,0.045000000000001705,1.001315597134922,0,1,68.41,68.5,nobitex,ramzinex,0.5
2023-12-18 16:30:16,1702904415672,0,NOBITEX-RAMZINEX,CELRIRT,269,9140.0,9090.0,8953.0,8925.0,172699.2,33426.1,312.4401,120.0,42804.293699999995,1.0153021333631185,0,1,8953.0,9090.0,ramzinex,nobitex,312.4401
2023-12-18 16:30:16,1702904415646,0,NOBITEX-RAMZINEX,OMGIRT,290,381900.0,381630.0,479080.0,382026.0,10.0,796.81,300.0,184.0,1260.0,1.000329929300864,0,1,381900.0,382026.0,nobitex,ramzinex,10.0
2023-12-18 16:30:16,1702904415593,0,NOBITEX-RAMZINEX,APEIRT,298,805680.0,802010.0,798933.0,797112.0,202.0,150.0,19.92,214.607,61293.840000000004,1.0038513867871273,0,1,798933.0,802010.0,ramzinex,nobitex,19.92
2023-12-18 16:30:16,1702904415673,0,NOBITEX-RAMZINEX,JSTIRT,318,14950.0,14870.0,15111.0,14955.0,1.5,15979.0,13425.0,6375.0,7.5,1.0003344481605352,0,1,14950.0,14955.0,nobitex,ramzinex,1.5
2023-12-18 16:30:16,1702904415735,0,NOBITEX-RAMZINEX,GALIRT,320,775160.0,770020.0,765985.0,741901.0,0.729,2.7,192.62,237.08,10894.5,1.005267727174814,0,1,765985.0,770020.0,ramzinex,nobitex,2.7
2023-12-18 16:30:16,1702904415598,0,NOBITEX-RAMZINEX,SNXIRT,374,1792940.0,1783230.0,2150000.0,2030405.0,171.2,15.7,0.05,0.95,225591.75,1.132444476669604,0,1,1792940.0,2030405.0,nobitex,ramzinex,0.95
2023-12-18 16:30:16,1702904415677,0,NOBITEX-RAMZINEX,SNTIRT,384,19760.0,19710.0,19686.0,19135.0,26.0,5072.5,7468.0,277.0,121740.0,1.0012191405059434,0,1,19686.0,19710.0,ramzinex,nobitex,5072.5
2023-12-18 16:30:16,1702904415723,0,NOBITEX-RAMZINEX,SKLIRT,391,20240.0,20200.0,20017.0,19716.0,184.2,61400.9,8663.0,8001.0,1585329.0,1.0091422291052605,0,1,20017.0,20200.0,ramzinex,nobitex,8663.0
